isolate,glucose_vv,experiment_repeat,well_id,time_s,OD,,,,,,
NCTC12156,1,1,A1,0,0.145400003,,,,,,
NCTC12156,1,1,A2,0,0.138899997,,,,,,
NCTC12156,1,1,A3,0,0.126900002,,,,,,
NCTC12156,1,2,A1,0,0.1171,,,,,,
NCTC12156,1,2,A2,0,0.109700002,,,,,,
NCTC12156,1,2,A3,0,0.108400002,,,,,,
NCTC12156,1,3,A1,0,0.1008,,,,,,
NCTC12156,1,3,A2,0,0.105099998,,,,,,
NCTC12156,1,3,A3,0,0.102899998,,,,,,
NCTC12156,1,1,A1,3600,0.1021,,,,,,
NCTC12156,1,1,A2,3600,0.103399999,,,,,,
NCTC12156,1,1,A3,3600,0.104000002,,,,,,
NCTC12156,1,2,A1,3600,0.1175,,,,,,
NCTC12156,1,2,A2,3600,0.110799998,,,,,,
NCTC12156,1,2,A3,3600,0.108499996,,,,,,
NCTC12156,1,3,A1,3600,0.101499997,,,,,,
NCTC12156,1,3,A2,3600,0.104599997,,,,,,
NCTC12156,1,3,A3,3600,0.102399997,,,,,,
NCTC12156,1,1,A1,7200,0.102300003,,,,,,
NCTC12156,1,1,A2,7200,0.103299998,,,,,,
NCTC12156,1,1,A3,7200,0.104900002,,,,,,
NCTC12156,1,2,A1,7200,0.120499998,,,,,,
NCTC12156,1,2,A2,7200,0.113200001,,,,,,
NCTC12156,1,2,A3,7200,0.112300001,,,,,,
NCTC12156,1,3,A1,7200,0.103500001,,,,,,
NCTC12156,1,3,A2,7200,0.105300002,,,,,,
NCTC12156,1,3,A3,7200,0.104099996,,,,,,
NCTC12156,1,1,A1,10800,0.1065,,,,,,
NCTC12156,1,1,A2,10800,0.108199999,,,,,,
NCTC12156,1,1,A3,10800,0.109999999,,,,,,
NCTC12156,1,2,A1,10800,0.125499994,,,,,,
NCTC12156,1,2,A2,10800,0.119099997,,,,,,
NCTC12156,1,2,A3,10800,0.117200002,,,,,,
NCTC12156,1,3,A1,10800,0.109399997,,,,,,
NCTC12156,1,3,A2,10800,0.1127,,,,,,
NCTC12156,1,3,A3,10800,0.111100003,,,,,,
NCTC12156,1,1,A1,14400,0.114399999,,,,,,
NCTC12156,1,1,A2,14400,0.1184,,,,,,
NCTC12156,1,1,A3,14400,0.120099999,,,,,,
NCTC12156,1,2,A1,14400,0.135299996,,,,,,
NCTC12156,1,2,A2,14400,0.129099995,,,,,,
NCTC12156,1,2,A3,14400,0.127499998,,,,,,
NCTC12156,1,3,A1,14400,0.1215,,,,,,
NCTC12156,1,3,A2,14400,0.126599997,,,,,,
NCTC12156,1,3,A3,14400,0.125300005,,,,,,
NCTC12156,1,1,A1,18000,0.122199997,,,,,,
NCTC12156,1,1,A2,18000,0.125300005,,,,,,
NCTC12156,1,1,A3,18000,0.127299994,,,,,,
NCTC12156,1,2,A1,18000,0.145600006,,,,,,
NCTC12156,1,2,A2,18000,0.137799993,,,,,,
NCTC12156,1,2,A3,18000,0.137099996,,,,,,
NCTC12156,1,3,A1,18000,0.126399994,,,,,,
NCTC12156,1,3,A2,18000,0.1294,,,,,,
NCTC12156,1,3,A3,18000,0.128099993,,,,,,
NCTC12156,1,1,A1,21600,0.131699994,,,,,,
NCTC12156,1,1,A2,21600,0.134900004,,,,,,
NCTC12156,1,1,A3,21600,0.136500001,,,,,,
NCTC12156,1,2,A1,21600,0.171100006,,,,,,
NCTC12156,1,2,A2,21600,0.1646,,,,,,
NCTC12156,1,2,A3,21600,0.158000007,,,,,,
NCTC12156,1,3,A1,21600,0.142100006,,,,,,
NCTC12156,1,3,A2,21600,0.148300007,,,,,,
NCTC12156,1,3,A3,21600,0.148100004,,,,,,
NCTC12156,1,1,A1,25200,0.159099996,,,,,,
NCTC12156,1,1,A2,25200,0.163599998,,,,,,
NCTC12156,1,1,A3,25200,0.164800003,,,,,,
NCTC12156,1,2,A1,25200,0.207900003,,,,,,
NCTC12156,1,2,A2,25200,0.210800007,,,,,,
